"_id","Fiscal_Year","Budget_Type","Organization_Entity","Command_Name","Pillar_Name","District_Name","Unit_Name","Feature_Category","Cost_Element","Cost_Element_Long_Name","Amount"
814,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Benefits","1746","EMPLOYMENT INSURANCE - CIVILIAN",23100
815,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Benefits","1765","CANADA PENSION PLAN - CIVILIAN",67200
816,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Benefits","1776","OMERS CIVILIAN - CIVILIAN",174300
817,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Materials & Supplies","2010","STATIONERY AND OFFICE SUPPLIES",12000
818,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Materials & Supplies","2999","MISCELLANEOUS MATERIALS & SUPPLIES",2000
819,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Premium Pay","1582","CIVILIAN OVERTIME",20000
820,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Premium Pay","1583","CIVILIAN CALLBACK",10100
821,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Premium Pay","1584","CIVILIAN LIEU TIME CASH PAYMENT",6100
822,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Salaries","1502","REGULAR SALARIES CIVILIAN SENIOR OFFICER",180700
823,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Salaries","1505","REGULAR SALARIES CIVILIAN A",1509200
824,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Salaries","1534","ALTERNATE RATE CIVILIAN A",1200
825,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","4206","BUSINESS TRAV - MILEAGE ALLOWANCE",400
826,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","4225","BUSINESS TRAV - PUBLIC TRANSIT",200
827,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","4255","CONFERENCES/SEMINARS - OTHER EXPENSES",2000
828,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","4312","COURSES/SEMINARS",3400
829,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","4424","CONTRACTED SERVICES - GENERAL",30100
830,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Finance & Business Mgmt","Finance & Business Mgmt","Accounting Services","Services","4760","MEMBERSHIP FEES",2800
